dataset,representation,detector,seed,precision,recall,f1,roc_auc,pr_auc,fpr,precision_point,precision_ci_low,precision_ci_high,precision_mean,precision_std,recall_point,recall_ci_low,recall_ci_high,recall_mean,recall_std,f1_point,f1_ci_low,f1_ci_high,f1_mean,f1_std,roc_auc_point,roc_auc_ci_low,roc_auc_ci_high,roc_auc_mean,roc_auc_std,pr_auc_point,pr_auc_ci_low,pr_auc_ci_high,pr_auc_mean,pr_auc_std,fpr_point,fpr_ci_low,fpr_ci_high,fpr_mean,fpr_std
RPM,raw,autoencoder,0,0.9501067753834207,0.9918929874341306,0.9705503222607833,0.9940596406366176,0.9164750311300816,0.01369133237440733,0.9501067753834207,0.9417702685223318,0.9577723710380746,0.9502628199471927,0.004266996059256645,0.9918929874341306,0.9845353020492577,0.9970474903023084,0.9918282346729894,0.0033370565618003147,0.9705503222607833,0.9650917714521012,0.9759239063787576,0.9705937676559574,0.0028603739197714134,0.9940596406366176,0.9926841929247568,0.9954229355528016,0.9941094156835433,0.0007589720643603324,0.9164750311300816,0.9015541427036843,0.9310273733908395,0.9171100282781081,0.008161634827104731,0.01369133237440733,0.011398813701728473,0.016034578969342395,0.013623273459039126,0.001210169507309938
RPM,residual,isolation_forest,0,0.9842315369261477,0.9993919740575598,0.9917538213998391,0.9988320822875381,0.9910135815797572,0.004208619679292526,0.9842315369261477,0.9797808871967678,0.9887685049024124,0.9842902311687135,0.002326150527958372,0.9993919740575598,0.9984742817089013,1.0,0.9993872969275003,0.00036689072909439774,0.9917538213998391,0.989492053663344,0.99412341306988,0.9917798911108022,0.001192384832796522,0.9988320822875381,0.9983163750078026,0.9992687513165854,0.9988164534866631,0.0002454612236822471,0.9910135815797572,0.9857366973205076,0.9951615057220611,0.9909322767409033,0.0025476015943198898,0.004208619679292526,0.0028930341851069667,0.0053705944230686585,0.004190214393218764,0.000653746619517141
RPM,residual,one_class_svm,0,0.8064727034978751,1.0,0.8928700687658343,0.9998668158329338,0.998987649321725,0.06307602152256139,0.8064727034978751,0.7908118822189754,0.8200858901927173,0.8062284607406162,0.007853099229125983,1.0,1.0,1.0,1.0,0.0,0.8928700687658343,0.8831881107241859,0.9011507583836947,0.8926994098109344,0.004818636617454337,0.9998668158329338,0.9997568942297467,0.999973030590828,0.9998657206101162,5.79943301968882e-05,0.998987649321725,0.9981035661431817,0.9997853905711187,0.9989811839578279,0.00043259261797662976,0.06307602152256139,0.06108581877387919,0.0648665792818111,0.0630132567307273,0.000997909072803995
RPM,residual,lof,0,0.8268811798223563,1.0,0.9052380515549032,0.9998522071439966,0.9994785045282168,0.05503169783176176,0.8268811798223563,0.8090064488882805,0.8432903246688276,0.8267568810653149,0.00893430401805565,1.0,1.0,1.0,1.0,0.0,0.9052380515549032,0.894420745385532,0.9149837256017438,0.905137348127657,0.005359580213965906,0.9998522071439966,0.9997033640740891,0.9999540600457721,0.9998499892267958,6.462559337821681e-05,0.9994785045282168,0.9988996889461805,0.9998339975886782,0.99946778659741,0.00023426930517795626,0.05503169783176176,0.05205143566194838,0.057965028934751285,0.05492657233713039,0.00155699925269265
RPM,residual,hbos,0,0.9543520309477757,1.0,0.9766429136975456,0.9999988662879984,0.9999957230013246,0.01257258537105109,0.9543520309477757,0.9477056821769881,0.9615199869870458,0.9544721845485494,0.0036247318536991053,1.0,1.0,1.0,1.0,0.0,0.9766429136975456,0.9731508110787604,0.9803825536137372,0.9767023062227673,0.0018978014308573786,0.9999988662879984,0.9999970183269297,0.999999967527869,0.9999988814068017,7.743101391312765e-07,0.9999957230013246,0.9999888732065837,0.9999998741767695,0.999995758337364,2.9499523316849177e-06,0.01257258537105109,0.010424040768473,0.014622750393718752,0.012520299994657378,0.0010735227969622403
RPM,residual,elliptic_envelope,0,0.948481353325644,1.0,0.973559589581689,1.0,1.0,0.014277342709498694,0.948481353325644,0.9369052190995681,0.9600479186211935,0.9487559645602023,0.005869124987994147,1.0,1.0,1.0,1.0,0.0,0.973559589581689,0.9674249513371745,0.9796167833317633,0.9736949144022706,0.003093682769620053,1.0,0.9999999999999999,1.0,1.0,4.370952418903846e-17,1.0,1.0,1.0,1.0,1.6653345369377347e-17,0.014277342709498694,0.010733632813918556,0.018053992344521496,0.014193590731566601,0.0018245726815745182
RPM,residual,autoencoder,0,0.8117801908522541,1.0,0.8961133309117326,1.0,1.0,0.060945074849501894,0.8117801908522541,0.7966918465462727,0.825845239890973,0.8115160579493105,0.007579312584673952,1.0,1.0,1.0,1.0,0.0,0.8961133309117326,0.8868430581252176,0.9046169103188851,0.8959330325938819,0.004623248819002103,1.0,0.9999999999999999,1.0,1.0,4.191000011072726e-17,1.0,0.9999999999999999,1.0,1.0,2.0014830212433607e-17,0.060945074849501894,0.05914280996397415,0.06254933264545175,0.060894011555906374,0.0009054366064048449
gear,raw,isolation_forest,0,0.0,0.0,0.0,0.7090236973541285,0.2930244053802555,0.007083761423241227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7090236973541285,0.7004044642431191,0.719176072840106,0.709748816230913,0.005024524236958166,0.2930244053802555,0.27657753525181084,0.30990808373527673,0.2932382201929525,0.008883367016941158,0.007083761423241227,0.0057478505028550125,0.008553152504129065,0.007117558588613702,0.0007200583994188444
gear,raw,one_class_svm,0,0.0,0.0,0.0,0.9377968888354107,0.6699456010942754,0.00800302817282215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9377968888354107,0.9313253063113809,0.9436677432075439,0.9378293175990099,0.003291102833291983,0.6699456010942754,0.6404946392581576,0.6954599749885038,0.6698670720692332,0.013653579039858414,0.00800302817282215,0.0065145623709488955,0.009643373353050773,0.007989757335226968,0.0008006170348138462
gear,raw,lof,0,0.9614438063986874,0.22499520061432138,0.3646546359676416,0.9598111127062061,0.8714405228490367,0.0025415021900178445,0.9614438063986874,0.9432692941191972,0.9767685444879852,0.9608776691923023,0.0085583159998754,0.22499520061432138,0.18857463569704846,0.25975777851857496,0.22595638581081787,0.019139584384554483,0.3646546359676416,0.3154869853819777,0.4089451415084657,0.36549484159895584,0.025363847794396148,0.9598111127062061,0.9532328090816442,0.9654428210054616,0.9597675837502474,0.0034812397178313596,0.8714405228490367,0.8485544951804023,0.8914403326159805,0.8708346352810747,0.011345950048542343,0.0025415021900178445,0.001569708448521773,0.0035326820638443817,0.002562641741430196,0.0005106263064212213
