feature,method,f1_full,roc_auc_full,pr_auc_full,f1_without,roc_auc_without,pr_auc_without,delta_f1,delta_roc_auc,delta_pr_auc,rank,corpus,dataset,detector
byte_nunique_res,lofo,0.9456729456729457,0.9994354201275767,0.9955142447665495,0.9296805282884169,0.9996032390187912,0.9979029119057403,0.015992417384528834,-0.00016781889121453286,-0.0023886671391908365,10,hcrl,gear,isolation_forest
byte_max_change_res,lofo,0.9456729456729457,0.9994354201275767,0.9955142447665495,0.9247292739215338,0.9996636147871509,0.9986068345483718,0.020943671751411874,-0.00022819465957424345,-0.0030925897818223635,11,hcrl,gear,isolation_forest
byte_entropy_res,lofo,0.9456729456729457,0.9994354201275767,0.9955142447665495,0.9331780723754927,0.9996662826985108,0.9983836370569866,0.012494873297453024,-0.00023086257093407614,-0.002869392290437145,12,hcrl,gear,isolation_forest
byte_mean_res,lofo,0.9456729456729457,0.9994354201275767,0.9955142447665495,0.9132988515823617,0.9997669678046526,0.9989930433414635,0.032374094090584005,-0.00033154767707588295,-0.003478798574914066,13,hcrl,gear,isolation_forest
byte_var_res,lofo,0.9456729456729457,0.9994354201275767,0.9955142447665495,0.9191812246338451,0.9998125299173299,0.9991761908251731,0.02649172103910058,-0.0003771097897532494,-0.0036619460586235775,14,hcrl,gear,isolation_forest
iat_median_res,lofo,0.41572588631412155,0.9665201242405748,0.5195795699045147,0.43157624067883776,0.9455251956631227,0.3867834356217937,-0.015850354364716213,0.02099492857745211,0.13279613428272102,1,road,correlated_signal_attack_1,isolation_forest
iat_mean_res,lofo,0.41572588631412155,0.9665201242405748,0.5195795699045147,0.39768522910539794,0.9458744367011949,0.4097326481843222,0.01804065720872361,0.020645687539379898,0.1098469217201925,2,road,correlated_signal_attack_1,isolation_forest
time_since_last_seen_res,lofo,0.41572588631412155,0.9665201242405748,0.5195795699045147,0.35923992125310283,0.9532390264717095,0.43017118688823786,0.05648596506101872,0.013281097768865213,0.08940838301627685,3,road,correlated_signal_attack_1,isolation_forest
iat_min_res,lofo,0.41572588631412155,0.9665201242405748,0.5195795699045147,0.41083941784681727,0.95652677390542,0.45657413766100874,0.0048864684673042835,0.009993350335154805,0.06300543224350597,4,road,correlated_signal_attack_1,isolation_forest
byte_max_change_res,lofo,0.41572588631412155,0.9665201242405748,0.5195795699045147,0.38186700650857947,0.9576411957589716,0.47719809104445565,0.033858879805542086,0.00887892848160321,0.04238147886005905,5,road,correlated_signal_attack_1,isolation_forest
window_fill_res,lofo,0.41572588631412155,0.9665201242405748,0.5195795699045147,0.3932921116732247,0.958554878378077,0.47471365497716606,0.022433774640896853,0.007965245862497805,0.04486591492734865,6,road,correlated_signal_attack_1,isolation_forest
iat_max_res,lofo,0.41572588631412155,0.9665201242405748,0.5195795699045147,0.4278358399184297,0.9625035023618256,0.4884985805039075,-0.012109953604308166,0.0040166218787491825,0.031080989400607217,7,road,correlated_signal_attack_1,isolation_forest
dlc_mode_res,lofo,0.41572588631412155,0.9665201242405748,0.5195795699045147,0.45229491397443505,0.9648519558753545,0.512259775086324,-0.0365690276603135,0.0016681683652202128,0.0073197948181906725,8,road,correlated_signal_attack_1,isolation_forest
dlc_std_res,lofo,0.41572588631412155,0.9665201242405748,0.5195795699045147,0.45229491397443505,0.9648519558753545,0.512259775086324,-0.0365690276603135,0.0016681683652202128,0.0073197948181906725,9,road,correlated_signal_attack_1,isolation_forest
