corpus,dataset,capture,attack_type,representation,detector,n_seeds,precision_mean,precision_std,precision_ci95_low,precision_ci95_high,recall_mean,recall_std,recall_ci95_low,recall_ci95_high,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,roc_auc_mean,roc_auc_std,roc_auc_ci95_low,roc_auc_ci95_high,pr_auc_mean,pr_auc_std,pr_auc_ci95_low,pr_auc_ci95_high,fpr_mean,fpr_std,fpr_ci95_low,fpr_ci95_high,protocol_version,phase
hcrl,gear,gear,gear,residual,elliptic_envelope,5,0.7752334539779923,0.0722136448526381,0.7119354034109299,0.8385315045450547,1.0,0.0,1.0,1.0,0.8719714042435911,0.043518651407647,0.8338256244116378,0.9101171840755444,0.9984316854357692,2.7855087126208708e-08,0.9984316610197088,0.9984317098518296,0.971164518102528,9.77367923565038e-08,0.9711644324324522,0.9711646037726036,0.0839236467852701,0.0302840938891012,0.0573784680966477,0.1104688254738925,hcrl_temporal_v1,C
hcrl,gear,gear,gear,residual,hbos,5,0.8495994768677455,1.2412670766236366e-16,0.8495994768677454,0.8495994768677456,0.997696294874256,0.0,0.997696294874256,0.997696294874256,0.9177114603567011,1.2412670766236366e-16,0.9177114603567011,0.9177114603567014,0.9976905438124144,1.2412670766236366e-16,0.9976905438124144,0.9976905438124144,0.9842178401042508,0.0,0.9842178401042508,0.9842178401042508,0.0497485535067322,0.0,0.0497485535067322,0.0497485535067322,hcrl_temporal_v1,C
hcrl,gear,gear,gear,residual,isolation_forest,5,0.8640702569460901,0.02774660329569,0.839749286829448,0.8883912270627321,0.9993088884622768,0.0010567371045899,0.9983826175501948,1.000235159374359,0.9265809507218756,0.015599703141633,0.9129072080337004,0.940254693410051,0.9993974672718128,0.0004070399104186,0.999040681059386,0.9997542534842392,0.994750126112662,0.0044530144667243,0.9908468868361268,0.9986533653891972,0.0445574000973341,0.0105335017135035,0.0353243787553123,0.0537904214393558,hcrl_temporal_v1,C
hcrl,gear,gear,gear,residual,lof,5,0.9815501920576504,0.0018178471347992,0.9799567787893336,0.9831436053259672,0.9966980226531004,0.0006279680258704,0.9961475844092316,0.9972484608969692,0.9890656087425566,0.0011227889033002,0.9880814408761892,0.990049776608924,0.9999534932183198,1.279416905381558e-05,0.9999422786346857,0.999964707801954,0.9998424215924372,4.256859605881184e-05,0.9998051085728356,0.999879734612039,0.0052776726328881,0.000527884707159,0.0048149612858079,0.0057403839799682,hcrl_temporal_v1,C
hcrl,gear,gear,gear,residual,one_class_svm,5,0.910228984472595,0.0068817347759491,0.9041968779818336,0.9162610909633564,1.0,0.0,1.0,1.0,0.9529941824597638,0.003788941652353,0.9496730286695666,0.9563153362499608,0.9994592548531877,1.2412670766236366e-16,0.9994592548531877,0.9994592548531878,0.9961751768980684,0.0,0.9961751768980684,0.9961751768980684,0.0277943005461525,0.0023620104545332,0.0257239070977112,0.0298646939945939,hcrl_temporal_v1,C
road,correlated_signal_attack,correlated_signal_attack_1,correlated_signal_attack,raw,autoencoder,5,0.5403241752461505,0.2518841158671664,0.3195380130778348,0.7611103374144661,0.3012139966674601,0.2363491944904996,0.0940447934666943,0.5083831998682259,0.3746484685258082,0.2538295541996115,0.1521570544733991,0.5971398825782173,0.9517877812336292,0.0243135767558316,0.9304759915559672,0.9730995709112908,0.5170457831104376,0.0865133602458926,0.441213479357514,0.5928780868633612,0.014175456650373,0.0040573419909709,0.010619039590461,0.0177318737102849,pre_injection_v1,C
road,correlated_signal_attack,correlated_signal_attack_1,correlated_signal_attack,raw,elliptic_envelope,5,0.0006772009029345,0.0015142672533858,-0.0006501128668171,0.0020045146726862,0.0001428231373482,0.0003193622438704,-0.0001371102118543,0.0004227564865508,0.0002358954196972,0.0005274781940239,-0.0002264596029093,0.0006982504423039,0.8075938378168537,0.0599420338673208,0.7550523285415794,0.8601353470921279,0.1645686188966849,0.0616965262958204,0.1104892292016462,0.2186480085917236,0.0195854312911169,0.002371407956155,0.017506800569317,0.0216640620129167,pre_injection_v1,C
road,correlated_signal_attack,correlated_signal_attack_1,correlated_signal_attack,raw,hbos,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5930209235187586,0.0,0.5930209235187586,0.5930209235187586,0.0990406505086569,0.0,0.0990406505086569,0.0990406505086569,0.0148847807710683,1.939479807224432e-18,0.0148847807710683,0.0148847807710683,pre_injection_v1,C
road,correlated_signal_attack,correlated_signal_attack_1,correlated_signal_attack,raw,isolation_forest,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8007909530893785,0.0135644894965916,0.78890115381635,0.8126807523624071,0.1487813544845672,0.0076447220926984,0.1420804601233668,0.1554822488457675,0.0147377705906134,0.0015533114380538,0.0133762330840525,0.0160993080971742,pre_injection_v1,C
road,correlated_signal_attack,correlated_signal_attack_1,correlated_signal_attack,raw,lof,5,0.0012570401814985,0.001570561384539,-0.0001196175698183,0.0026336979328153,0.0002856462746965,0.0002607581801976,5.7081652184954565e-05,0.000514210897208,0.0004433815221867,0.000410148601042,8.387042228662157e-05,0.0008028926220868,0.5428475479145449,0.0279580533922759,0.5183412336162955,0.5673538622127944,0.0722146359846278,0.0059355116185815,0.0670119306601556,0.0774173413091,0.0226579440626263,0.0096656835448535,0.0141855988841512,0.0311302892411014,pre_injection_v1,C
