corpus,dataset,capture,attack_type,representation,detector,seed,precision,recall,f1,roc_auc,pr_auc,fpr,train_seconds,score_seconds,runtime_seconds,peak_rss_mb,model_bytes,protocol_version,phase
road,max_speedometer_attack,max_speedometer_attack_1,max_speedometer_attack,residual,elliptic_envelope,1,0.1014779952109652,1.0,0.1842578710644677,0.8503167593265178,0.1839348612783755,0.6457872794979452,0.6370430999995733,0.0237963999989005,0.6608394999984739,591.0078125,44031,pre_injection_v1,C
road,max_speedometer_attack,max_speedometer_attack_1,max_speedometer_attack,residual,elliptic_envelope,2,0.1034228851534723,1.0,0.1874582928177848,0.8516019048052019,0.1849632656955799,0.6322715606130291,0.5362074999993638,0.0259161000012682,0.562123600000632,592.13671875,44031,pre_injection_v1,C
road,max_speedometer_attack,max_speedometer_attack_1,max_speedometer_attack,residual,elliptic_envelope,3,0.0978016512483835,1.0,0.1781772711621754,0.8504511597396986,0.1837502411382305,0.6728038811328872,0.683208199998262,0.0278217999984917,0.7110299999967538,592.140625,44031,pre_injection_v1,C
road,max_speedometer_attack,max_speedometer_attack_1,max_speedometer_attack,residual,elliptic_envelope,4,0.1015450714698835,1.0,0.1843684368436843,0.850942843615296,0.1843062063725298,0.6453125231814608,0.605368799999269,0.0238067999998747,0.6291755999991437,592.17578125,44031,pre_injection_v1,C
road,max_speedometer_attack,max_speedometer_attack_1,max_speedometer_attack,residual,autoencoder,0,0.0980689435046281,1.0,0.1786207397718189,0.8607448057200894,0.1923644272596353,0.6707713306529383,1.4337484000006953,0.0450734999994892,1.4788219000001843,592.38671875,18610,pre_injection_v1,C
road,max_speedometer_attack,max_speedometer_attack_1,max_speedometer_attack,residual,autoencoder,1,0.0990071093388113,1.0,0.1801755575509905,0.8515650830635838,0.184576830794251,0.6637241665801226,1.5407173999992665,0.0382349000010435,1.57895230000031,592.41015625,18610,pre_injection_v1,C
road,max_speedometer_attack,max_speedometer_attack_1,max_speedometer_attack,residual,autoencoder,2,0.0999654309941639,1.0,0.1817610411698371,0.8636654087257984,0.1960480606266909,0.6566621663724167,1.1248924999999872,0.0364353000004484,1.1613278000004357,592.42578125,18610,pre_injection_v1,C
road,max_speedometer_attack,max_speedometer_attack_1,max_speedometer_attack,residual,autoencoder,3,0.0990390233092249,1.0,0.1802284017377596,0.8533856301253551,0.1864041184578375,0.6634867884218804,1.174476099999083,0.0480274999990797,1.2225035999981628,592.4375,18610,pre_injection_v1,C
road,max_speedometer_attack,max_speedometer_attack_1,max_speedometer_attack,residual,autoencoder,4,0.1011335349420889,1.0,0.183689864549276,0.8591666013084022,0.1922901518386365,0.6482352417548181,1.4548883999996178,0.0357266000009985,1.4906150000006164,592.4375,18610,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,raw,isolation_forest,0,0.0,0.0,0.0,0.7826541807948744,0.0980397141566457,0.0130802963859065,0.9666780000006838,0.3242492999997921,1.290927300000476,594.953125,2393295,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,raw,isolation_forest,1,0.0,0.0,0.0,0.797623426852734,0.1031690408302728,0.0134961439588688,0.8717414000002464,0.3182726000013645,1.1900140000016108,594.015625,2467391,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,raw,isolation_forest,2,0.0,0.0,0.0,0.7993621779872767,0.1060208467762243,0.0127400574625737,0.9724353999990852,0.2735132999987399,1.245948699997825,594.16015625,2485695,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,raw,isolation_forest,3,0.0,0.0,0.0,0.8236378961345312,0.1171788470832347,0.0120973839407228,0.9964985999995406,0.3169268000001466,1.3134253999996872,594.171875,2428319,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,raw,isolation_forest,4,0.0,0.0,0.0,0.8113760785246213,0.1117898471586238,0.0120973839407228,0.8713522999987617,0.3759074000008695,1.2472596999996313,594.171875,2465279,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,raw,one_class_svm,0,0.0,0.0,0.0,0.808978326144546,0.1071726327493112,0.0088462120066535,0.0818435000001045,0.8983762999996543,0.9802197999997588,594.4140625,29754,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,raw,one_class_svm,1,0.0,0.0,0.0,0.7897629908380821,0.0983282618486459,0.0074474519885074,0.122327299999597,0.9762204999988172,1.098547799998414,590.51171875,30138,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,raw,one_class_svm,2,0.0,0.0,0.0,0.7878175411846867,0.0974439702412078,0.0082413428096174,0.0689359000007243,0.7701618999999482,0.8390978000006726,590.87109375,30138,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,raw,one_class_svm,3,0.0,0.0,0.0,0.8327198276056704,0.1208327726606746,0.0129668834114622,0.1147929999988264,0.8279388999999355,0.942731899998762,591.08984375,29610,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,raw,one_class_svm,4,0.0,0.0,0.0,0.7798222706626655,0.0945974910161625,0.011114471495539,0.0840607000009185,0.9636683999997332,1.0477291000006517,591.21875,30282,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,raw,lof,0,0.0164473684210526,0.0036416605972323,0.0059630292188431,0.689802339826132,0.0713182765054661,0.0113034931196128,0.0952080999995814,0.3497559000006731,0.4449640000002546,593.90234375,2514956,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,raw,lof,1,0.0153631284916201,0.0080116533139111,0.0105313547151747,0.7257160766897487,0.0781029553417722,0.0266520489944049,0.0984569000011106,0.405046100000618,0.5035030000017287,596.38671875,2514956,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,raw,lof,2,0.0186915887850467,0.0029133284777858,0.0050409577819785,0.6959205278750313,0.0741744132541174,0.0079389082110993,0.1088851999993494,0.3840839999993477,0.4929691999986971,593.77734375,2514956,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,raw,lof,3,0.0,0.0,0.0,0.6864437986534502,0.0696420696264166,0.0107364282473915,0.0791616999995312,0.3710498999989795,0.4502115999985108,595.671875,2514956,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,raw,lof,4,0.0255474452554744,0.0050983248361252,0.0085003035822707,0.7315692627545404,0.0808084041649992,0.0100937547255406,0.1452030000000377,0.3319823999991058,0.4771853999991435,594.71484375,2514956,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,raw,hbos,0,0.0,0.0,0.0,0.7246441189521755,0.1126429809218731,0.0117949493422047,0.0228955000002315,0.0125430999996751,0.0354385999999067,592.90234375,3711,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,raw,hbos,1,0.0,0.0,0.0,0.7246441189521755,0.1126429809218731,0.0117949493422047,0.0126335000004473,0.0112869000004138,0.0239204000008612,588.390625,3711,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,raw,hbos,2,0.0,0.0,0.0,0.7246441189521755,0.1126429809218731,0.0117949493422047,0.0121681000000535,0.0115237000009074,0.0236918000009609,589.07421875,3711,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,raw,hbos,3,0.0,0.0,0.0,0.7246441189521755,0.1126429809218731,0.0117949493422047,0.0139760000001842,0.013105700001688,0.0270817000018723,589.07421875,3711,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,raw,hbos,4,0.0,0.0,0.0,0.7246441189521755,0.1126429809218731,0.0117949493422047,0.0055673000006208,0.0068838000006508,0.0124511000012716,589.07421875,3711,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,raw,elliptic_envelope,0,0.0,0.0,0.0,0.896323167338297,0.1877824412781028,0.0173143807651595,0.7145811999998841,0.010329200000342,0.7249104000002262,592.8125,66831,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,raw,elliptic_envelope,1,0.0,0.0,0.0,0.8972908258898554,0.1879959639710351,0.0181838802358989,0.6616534000004322,0.0111433000001852,0.6727967000006174,591.9453125,66831,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,raw,elliptic_envelope,2,0.0,0.0,0.0,0.8715855370620603,0.1580402924260621,0.0144790564040526,0.60185139999885,0.0098385999990568,0.6116899999979069,592.13671875,66831,pre_injection_v1,C
road,reverse_light_off_attack,reverse_light_off_attack_1,reverse_light_off_attack,raw,elliptic_envelope,3,0.0,0.0,0.0,0.8945947690268643,0.1852990493897421,0.0163314683199758,0.6296211000008043,0.0089539000000513,0.6385750000008557,592.32421875,66831,pre_injection_v1,C
