experiment,dataset,representation,detector,seed,precision,recall,f1,roc_auc,pr_auc,fpr,threshold,n_train_normals,train_seconds,score_seconds,runtime_seconds,peak_rss_mb,model_bytes,tp,fp,fn,tn,precision_point,precision_ci_low,precision_ci_high,precision_mean,precision_std,recall_point,recall_ci_low,recall_ci_high,recall_mean,recall_std,f1_point,f1_ci_low,f1_ci_high,f1_mean,f1_std,roc_auc_point,roc_auc_ci_low,roc_auc_ci_high,roc_auc_mean,roc_auc_std,pr_auc_point,pr_auc_ci_low,pr_auc_ci_high,pr_auc_mean,pr_auc_std,fpr_point,fpr_ci_low,fpr_ci_high,fpr_mean,fpr_std,protocol_version,phase
representation,DoS,residual,elliptic_envelope,0,0.0201318986463033,0.0099417209461775,0.0133103843947217,0.6776019159719346,0.3101147428120832,0.1580804121402172,2954.022117461652,8064,0.2299063000000387,0.0035625000000436,0.2334688000000824,335.58203125,66831,58,2823,5776,15035,0.0201318986463033,0.0,0.0473619182931086,0.0208604914758157,0.0119386719945909,0.0099417209461775,0.0,0.0241243072995312,0.0102930710209549,0.005973223970647,0.0133103843947217,0.0,0.0317072957811152,0.01377424434666,0.0079445813420077,0.6776019159719346,0.6432732146001658,0.7116382373713276,0.6783965018081634,0.0167924956653776,0.3101147428120832,0.2948444111891051,0.3281933692495943,0.3115469646003087,0.0088708717750852,0.1580804121402172,0.1416815655578356,0.1798571952344758,0.1574638197186715,0.0099379801957787,hcrl_temporal_v1,A
representation,DoS,residual,autoencoder,0,0.0546654099905749,0.0099417209461775,0.0168237853517041,0.6209129688891833,0.2774455318191067,0.0561653040654048,0.3923990753764999,8064,0.6009499000001597,0.0075120000001334,0.6084619000002931,336.8828125,18610,58,1003,5776,16855,0.0546654099905749,0.0,0.1203181052084616,0.0559100999123791,0.0304778594860467,0.0099417209461775,0.0,0.0241243072995312,0.0102930710209549,0.005973223970647,0.0168237853517041,0.0,0.0402010031413685,0.017367835047002,0.0099613443723335,0.6209129688891833,0.6057973991146856,0.6361071814238091,0.6215455794059236,0.0078470602676918,0.2774455318191067,0.2583438292575313,0.2981695051578568,0.2780876512601227,0.0105786076593152,0.0561653040654048,0.0506736445673478,0.0611651250320395,0.0557403305713339,0.0027543683777589,hcrl_temporal_v1,A
representation,Fuzzy,raw,isolation_forest,0,0.3458646616541353,0.1064814814814814,0.1628318584070796,0.8668615745752454,0.2909264464063234,0.0134543017681323,0.6543081373481688,7884,0.1993979000003491,0.1107211999997161,0.3101191000000654,336.86328125,2117327,138,261,1158,19138,0.3458646616541353,0.2960834326963359,0.397375386996904,0.3446158346754244,0.0232654970388772,0.1064814814814814,0.0835526576042939,0.1344806763285023,0.1060315239384711,0.012327590587035,0.1628318584070796,0.1303370646766169,0.19951746810144,0.1619667447991393,0.0162930750897943,0.8668615745752454,0.852300591746266,0.8826505611083744,0.867233824764787,0.0082158218680373,0.2909264464063234,0.2688082798815653,0.3177448141511369,0.2915164463782032,0.0126674825793263,0.0134543017681323,0.0116543399651247,0.0152966224095357,0.0133731509229476,0.0009659075318366,hcrl_temporal_v1,A
representation,Fuzzy,raw,one_class_svm,0,0.4283347141673571,0.3989197530864197,0.4131042748701558,0.6100992223730509,0.2268208570023058,0.0355688437548327,0.3127097281215338,7884,0.0337048999999751,0.2244504999998753,0.2581553999998505,335.1171875,30810,517,690,779,18709,0.4283347141673571,0.3792324803632793,0.483178071468042,0.4290214196854835,0.0258530469299562,0.3989197530864197,0.3496984232522796,0.4401100479896067,0.3972369927585423,0.0239399456831953,0.4131042748701558,0.3754253131068741,0.450475317205243,0.4119270265005368,0.0193416734566381,0.6100992223730509,0.5759228126098205,0.6412409936766174,0.6093690311324762,0.0171774356876485,0.2268208570023058,0.1982715371491058,0.2579264427123829,0.2271300194888728,0.0156747070050699,0.0355688437548327,0.029045806620514,0.0418797779062162,0.0352453078744331,0.0030996685658554,hcrl_temporal_v1,A
representation,Fuzzy,raw,lof,0,0.2972292191435768,0.0910493827160493,0.1393975191966922,0.6646396872627391,0.1748549262775711,0.0143821846486932,23139.68764793363,7884,0.0460360000001855,0.1255479000001287,0.1715839000003143,338.79296875,2514956,118,279,1178,19120,0.2972292191435768,0.2218814336515066,0.3783815357413488,0.2953282519872624,0.0399583287071488,0.0910493827160493,0.0661415319996337,0.1125518144092853,0.0902382902598384,0.0120644890720581,0.1393975191966922,0.1029471535176233,0.1697715940008326,0.1380296418596488,0.0177425746645791,0.6646396872627391,0.6402905954778931,0.6883793177700983,0.6645004784415443,0.0122337367478365,0.1748549262775711,0.1427756731852384,0.2063048647669539,0.1743545138708808,0.0166490847146505,0.0143821846486932,0.0121100802791252,0.0169132131168871,0.0143446924860976,0.0012241568456902,hcrl_temporal_v1,A
representation,Fuzzy,raw,hbos,0,0.2908093278463649,0.1635802469135802,0.2093827160493827,0.7781902894956403,0.2528052821456337,0.0266508582916645,17.224590988313555,7884,0.0032962000000225,0.0058094000000892,0.0091056000001117,337.453125,3855,212,517,1084,18882,0.2908093278463649,0.2526140626499974,0.3374446491326136,0.2941256816446695,0.02117828207917,0.1635802469135802,0.1330806346808475,0.2019643499255149,0.163756171216569,0.0160296486923841,0.2093827160493827,0.1791881704180614,0.243684671656561,0.2098047937343679,0.0152114403676697,0.7781902894956403,0.758581629355008,0.7996392878917761,0.7785571865897714,0.0106715189526315,0.2528052821456337,0.2314345203658358,0.2811619079910141,0.2537652350546552,0.0130623127145819,0.0266508582916645,0.0213233139857446,0.0324174052387397,0.0262218018811954,0.0029345058510164,hcrl_temporal_v1,A
representation,Fuzzy,raw,elliptic_envelope,0,0.2008426966292134,0.3310185185185185,0.25,0.8388982440866558,0.2211568423751524,0.0879942265065209,31646.208375007387,7884,0.2912103999997271,0.0044263999998293,0.2956367999995564,339.3828125,66831,429,1707,867,17692,0.2008426966292134,0.1787928064093349,0.2287286023835319,0.2017386905327468,0.0131032878995232,0.3310185185185185,0.271959865383928,0.3923308946219997,0.3296833366051588,0.0285831849051124,0.25,0.2252317755572681,0.2756820179602104,0.2496346558340835,0.0130617971937531,0.8388982440866558,0.8177838049512619,0.8598980663425404,0.8392583889301259,0.0113148358146623,0.2211568423751524,0.201833816068392,0.2482287180886391,0.2227939017232053,0.0121757606143094,0.0879942265065209,0.0687277229254332,0.1081000664667852,0.0871361555661626,0.009969827716969,hcrl_temporal_v1,A
representation,Fuzzy,raw,autoencoder,0,0.1284046692607003,0.0254629629629629,0.0424983902124919,0.8129594865842009,0.2274343677785436,0.0115469869580906,2.0275611996672174,7884,0.5220398999999816,0.0064124000000447,0.5284523000000263,339.984375,18610,33,224,1263,19175,0.1284046692607003,0.0780540171458918,0.1806589409575367,0.1275673500678037,0.0259424794012959,0.0254629629629629,0.0158672855423757,0.0376216751556309,0.0252909349282668,0.0055276674495531,0.0424983902124919,0.026856332850893,0.0619785518087779,0.0421634023915103,0.0089939728380118,0.8129594865842009,0.7938267425655808,0.8322729179693613,0.812700325423254,0.0100068920350453,0.2274343677785436,0.2047267576178761,0.2522128103446392,0.2274551062393912,0.0124978783256611,0.0115469869580906,0.0101719198819235,0.0127601467061166,0.0114862856902927,0.0006920004562767,hcrl_temporal_v1,A
representation,Fuzzy,residual,isolation_forest,0,0.3118385429485601,0.9776234567901234,0.4728494122037693,0.972770726377012,0.7592283393158402,0.1441311407804526,0.3951834491704025,7884,0.2281768000002557,0.1372153000002072,0.3653921000004629,340.50390625,1247359,1267,2796,29,16603,0.3118385429485601,0.2799659030367608,0.3514742868790783,0.3137165984179299,0.0192958295575313,0.9776234567901234,0.9657755659217472,0.9871142109851788,0.9773307075002934,0.0057498087522012,0.4728494122037693,0.4357618162152451,0.5164998790114999,0.4746211065981148,0.0218602070136709,0.972770726377012,0.9670119244478006,0.9789961240723328,0.9731464420972384,0.0032747728506676,0.7592283393158402,0.726246713991281,0.801619782406149,0.7625387893774003,0.0201325911370773,0.1441311407804526,0.1197333185165397,0.1682832419207603,0.1429294997670182,0.0130404100503696,hcrl_temporal_v1,A
representation,Fuzzy,residual,one_class_svm,0,0.4170096021947874,0.7037037037037037,0.5236864771748493,0.8015631692227995,0.6184330131237864,0.0657250373730604,-0.3787329219540483,7884,0.04335970000011,0.2748259999998481,0.3181856999999581,339.3125,30010,912,1275,384,18124,0.4170096021947874,0.373863765194603,0.4744891432978639,0.4185855495605309,0.0243166786832173,0.7037037037037037,0.6712405285579196,0.7408050065300582,0.7041140548009491,0.0182311768608257,0.5236864771748493,0.4870086080640193,0.5622908680669223,0.5244858075662461,0.0188515084710345,0.8015631692227995,0.7745690141070061,0.8304348612137383,0.8020982280203299,0.0141963127163881,0.6184330131237864,0.5885080884203481,0.6504199025292964,0.6193817265381055,0.0157674493012855,0.0657250373730604,0.0552892130967033,0.0754072087174364,0.065234354413248,0.0049435707429194,hcrl_temporal_v1,A
