corpus,dataset,representation,detector,train_seconds,score_seconds,wall_seconds,n_test,windows_per_sec,frames_per_sec_est,peak_rss_mb,model_bytes,complexity_note,capture
hcrl,gear,raw,lof,0.03882590000102937,0.12457720000020345,0.49678270000003977,23702,190259.53384697434,5707786.01540923,524.7421875,2514956,Train O(n log n) kNN; score O(n_neighbors) novelty,
hcrl,gear,raw,hbos,0.0017532000001665438,0.004279099999621394,0.2508866999996826,23702,5539015.213969551,166170456.41908652,527.546875,3855,Train O(n d b); score O(d) — lightest,
hcrl,gear,raw,elliptic_envelope,0.17696880000039528,0.003015800000866875,0.5088173000003735,23702,7859274.485439018,235778234.56317055,526.9609375,66831,Train robust cov ~O(n d^2); score O(d^2),
hcrl,gear,raw,autoencoder,0.424343200000294,0.0058963999999832595,0.7641445999997813,23702,4019740.8588405284,120592225.76521586,527.75390625,18610,Train O(epochs n d h); score O(d h),
hcrl,gear,residual,isolation_forest,0.1645860000007815,0.11244489999990037,0.6314920000004349,23702,210787.68356787192,6323630.507036158,527.890625,1762511,Train O(T ψ log ψ); score O(T log ψ) per sample,
hcrl,gear,residual,one_class_svm,0.028613200000108918,0.23331750000033935,0.5849770000004355,23702,101586.89339618986,3047606.8018856957,527.61328125,32650,Train ~O(n_sv^2–n^3) RBF; score O(n_sv) per sample,
hcrl,gear,residual,lof,0.20852019999983895,0.8867618000003858,1.5153958999999304,23702,26728.71113752271,801861.3341256813,528.69921875,2514956,Train O(n log n) kNN; score O(n_neighbors) novelty,
hcrl,gear,residual,hbos,0.0017425000005459879,0.004571299999952316,0.2795092999986082,23702,5184958.32700703,155548749.8102109,528.71875,3711,Train O(n d b); score O(d) — lightest,
hcrl,gear,residual,elliptic_envelope,0.17467450000003737,0.003363800000443007,0.5034483999988879,23702,7046197.751613796,211385932.54841387,528.75,66831,Train robust cov ~O(n d^2); score O(d^2),
hcrl,gear,residual,autoencoder,0.42626299999938055,0.005399199999374105,0.7595987999993667,23702,4389909.616748338,131697288.50245012,528.78125,18610,Train O(epochs n d h); score O(d h),
road,correlated_signal_attack,raw,isolation_forest,0.1983300000010786,0.30462269999952696,1.393573399998786,58619,192431.48984002514,5772944.695200754,536.0546875,2524767,Train O(T ψ log ψ); score O(T log ψ) per sample,correlated_signal_attack_1
road,correlated_signal_attack,raw,one_class_svm,0.02585910000016156,0.5328374000000622,1.3949442000011913,58619,110012.92326701009,3300387.6980103026,536.26953125,29754,Train ~O(n_sv^2–n^3) RBF; score O(n_sv) per sample,correlated_signal_attack_1
road,correlated_signal_attack,raw,lof,0.036109700000451994,0.2813215999995009,1.1347595999995974,58619,208370.06472344816,6251101.941703444,533.2734375,2514956,Train O(n log n) kNN; score O(n_neighbors) novelty,correlated_signal_attack_1
road,correlated_signal_attack,raw,hbos,0.0025640000003477326,0.012506800001574447,0.6325565999995888,58619,4686970.287573209,140609108.62719628,535.859375,3711,Train O(n d b); score O(d) — lightest,correlated_signal_attack_1
road,correlated_signal_attack,raw,elliptic_envelope,0.18071769999914977,0.006874500000776607,0.9904143000003387,58619,8527020.145956485,255810604.37869453,534.4375,66831,Train robust cov ~O(n d^2); score O(d^2),correlated_signal_attack_1
road,correlated_signal_attack,raw,autoencoder,0.43174069999986386,0.013406699999904959,1.24908829999913,58619,4372366.055809077,131170981.6742723,535.64453125,18610,Train O(epochs n d h); score O(d h),correlated_signal_attack_1
road,correlated_signal_attack,residual,isolation_forest,0.19616709999900195,0.3419785000005504,1.4014148999995086,58619,171411.36065543786,5142340.819663136,535.70703125,1893631,Train O(T ψ log ψ); score O(T log ψ) per sample,correlated_signal_attack_1
road,correlated_signal_attack,residual,one_class_svm,0.029859399999622838,0.624652700000297,1.427368299999216,58619,93842.54642615348,2815276.3927846043,536.96484375,35562,Train ~O(n_sv^2–n^3) RBF; score O(n_sv) per sample,correlated_signal_attack_1
road,correlated_signal_attack,residual,lof,0.32626950000121724,2.7900019000007887,4.135348000001613,58619,21010.37995708298,630311.3987124894,531.671875,2514956,Train O(n log n) kNN; score O(n_neighbors) novelty,correlated_signal_attack_1
road,correlated_signal_attack,residual,hbos,0.002531000000089989,0.014029500000106054,0.799564900000405,58619,4178267.2226064275,125348016.67819282,533.40625,3711,Train O(n d b); score O(d) — lightest,correlated_signal_attack_1
road,correlated_signal_attack,residual,elliptic_envelope,0.1755790999995952,0.006782300000850228,0.9730055999989418,58619,8642938.235208048,259288147.05624142,533.18359375,66831,Train robust cov ~O(n d^2); score O(d^2),correlated_signal_attack_1
road,correlated_signal_attack,residual,autoencoder,0.420737200000076,0.01291280000077677,1.2377792999996018,58619,4539604.113474519,136188123.40423557,534.4296875,18610,Train O(epochs n d h); score O(d h),correlated_signal_attack_1
road,fuzzing_attack,raw,isolation_forest,0.16897310000058496,0.19473929999912798,0.9170498000003136,37083,190423.81275975652,5712714.382792695,529.640625,2518431,Train O(T ψ log ψ); score O(T log ψ) per sample,fuzzing_attack_1
road,fuzzing_attack,raw,one_class_svm,0.026228900000205613,0.34101819999887084,0.8913396999996621,37083,108741.99676182323,3262259.902854697,529.82421875,30538,Train ~O(n_sv^2–n^3) RBF; score O(n_sv) per sample,fuzzing_attack_1
road,fuzzing_attack,raw,lof,0.03494689999934053,0.18453149999913876,0.730073300001095,37083,200957.56009230443,6028726.802769133,533.49609375,2514956,Train O(n log n) kNN; score O(n_neighbors) novelty,fuzzing_attack_1
road,fuzzing_attack,raw,hbos,0.0016572999993513804,0.007077799999024137,0.39288269999997283,37083,5239339.908603363,157180197.25810087,532.0234375,3711,Train O(n d b); score O(d) — lightest,fuzzing_attack_1
road,fuzzing_attack,raw,elliptic_envelope,0.18045270000038727,0.00463339999987511,0.6926426999998512,37083,8003410.023093095,240102300.69279286,530.640625,66831,Train robust cov ~O(n d^2); score O(d^2),fuzzing_attack_1
road,fuzzing_attack,raw,autoencoder,0.42869470000005094,0.008528399999704561,0.948812500000713,37083,4348177.85297179,130445335.5891537,530.65625,18610,Train O(epochs n d h); score O(d h),fuzzing_attack_1
road,fuzzing_attack,residual,isolation_forest,0.16607449999901291,0.22909900000013295,0.9515056999989611,37083,161864.521451331,4855935.64353993,530.65625,2165199,Train O(T ψ log ψ); score O(T log ψ) per sample,fuzzing_attack_1
road,fuzzing_attack,residual,one_class_svm,0.029744499999651453,0.4001952999988134,0.9321705999991536,37083,92662.25765297581,2779867.729589274,531.34375,35034,Train ~O(n_sv^2–n^3) RBF; score O(n_sv) per sample,fuzzing_attack_1
road,fuzzing_attack,residual,lof,0.29021990000001097,1.6005734999998822,2.4854482999999163,37083,23168.570515507552,695057.1154652266,525.15625,2514956,Train O(n log n) kNN; score O(n_neighbors) novelty,fuzzing_attack_1
road,fuzzing_attack,residual,hbos,0.001735400001052767,0.00905859999875247,0.5122152000003553,37083,4093678.9354985305,122810368.06495592,528.05859375,3711,Train O(n d b); score O(d) — lightest,fuzzing_attack_1
road,fuzzing_attack,residual,elliptic_envelope,0.1718087999997806,0.004555499999696622,0.683238399999027,37083,8140270.003834833,244208100.115045,529.51953125,66831,Train robust cov ~O(n d^2); score O(d^2),fuzzing_attack_1
road,fuzzing_attack,residual,autoencoder,0.4183194999986881,0.008506200001647812,0.9359556999988854,37083,4359525.991960725,130785779.75882174,529.88671875,18610,Train O(epochs n d h); score O(d h),fuzzing_attack_1
road,max_engine_coolant_temp_attack,raw,isolation_forest,0.22838269999920158,0.07327640000039537,0.6054624999997031,13992,190948.24527302795,5728447.358190838,537.55078125,2425327,Train O(T ψ log ψ); score O(T log ψ) per sample,max_engine_coolant_temp_attack
road,max_engine_coolant_temp_attack,raw,one_class_svm,0.026484900001378264,0.12514009999904374,0.4563300000008894,13992,111810.68258781094,3354320.477634328,538.03125,29882,Train ~O(n_sv^2–n^3) RBF; score O(n_sv) per sample,max_engine_coolant_temp_attack
road,max_engine_coolant_temp_attack,raw,lof,0.03571639999972831,0.06423970000105328,0.3628344000007928,13992,217809.23634093226,6534277.090227968,535.0546875,2514956,Train O(n log n) kNN; score O(n_neighbors) novelty,max_engine_coolant_temp_attack
road,max_engine_coolant_temp_attack,raw,hbos,0.004632499998479034,0.0024742000005062437,0.18271660000027623,13992,5655161.2630899325,169654837.892698,537.86328125,3711,Train O(n d b); score O(d) — lightest,max_engine_coolant_temp_attack
road,max_engine_coolant_temp_attack,raw,elliptic_envelope,0.17728790000001027,0.0018698999992921017,0.40044599999964703,13992,7482753.091233236,224482592.73699707,536.328125,66831,Train robust cov ~O(n d^2); score O(d^2),max_engine_coolant_temp_attack
road,max_engine_coolant_temp_attack,raw,autoencoder,0.4251141999993706,0.0030133000000205357,0.6509702000003017,13992,4643414.197028057,139302425.9108417,538.2109375,18610,Train O(epochs n d h); score O(d h),max_engine_coolant_temp_attack
road,max_engine_coolant_temp_attack,residual,isolation_forest,0.23213480000049458,0.08331499999985681,0.6181187000001955,13992,167940.94700863046,5038228.410258914,536.21484375,1918799,Train O(T ψ log ψ); score O(T log ψ) per sample,max_engine_coolant_temp_attack
road,max_engine_coolant_temp_attack,residual,one_class_svm,0.029068800000459305,0.14567329999954381,0.48859559999982594,13992,96050.54598230298,2881516.379469089,537.64453125,34234,Train ~O(n_sv^2–n^3) RBF; score O(n_sv) per sample,max_engine_coolant_temp_attack
road,max_engine_coolant_temp_attack,residual,lof,0.3036729999985255,0.734675599998809,1.715085600000748,13992,19045.140467469835,571354.2140240951,538.91796875,2514956,Train O(n log n) kNN; score O(n_neighbors) novelty,max_engine_coolant_temp_attack
road,max_engine_coolant_temp_attack,residual,hbos,0.004627300000720425,0.0028602000002138084,0.20339240000066638,13992,4891965.5964457225,146758967.89337167,537.07421875,3711,Train O(n d b); score O(d) — lightest,max_engine_coolant_temp_attack
road,max_engine_coolant_temp_attack,residual,elliptic_envelope,0.17903579999983776,0.0019434000005276175,0.4020676000000094,13992,7199753.008233654,215992590.24700963,538.078125,66831,Train robust cov ~O(n d^2); score O(d^2),max_engine_coolant_temp_attack
road,max_engine_coolant_temp_attack,residual,autoencoder,0.42155819999970845,0.0035553999987314455,0.6495305000007647,13992,3935422.176124289,118062665.28372867,534.04296875,18610,Train O(epochs n d h); score O(d h),max_engine_coolant_temp_attack
road,max_speedometer_attack,raw,isolation_forest,0.15639759999976377,0.3781650000000809,1.5947384999999485,72319,191236.6295135312,5737098.885405936,531.3359375,2710975,Train O(T ψ log ψ); score O(T log ψ) per sample,max_speedometer_attack_1
road,max_speedometer_attack,raw,one_class_svm,0.023388399999021203,0.6035178000001906,1.7221459000011237,72319,119829.10860288986,3594873.258086696,534.265625,27898,Train ~O(n_sv^2–n^3) RBF; score O(n_sv) per sample,max_speedometer_attack_1
road,max_speedometer_attack,raw,lof,0.020375500000227476,0.31520890000138024,1.366436000000249,72319,229431.97352512358,6882959.205753707,531.703125,1551948,Train O(n log n) kNN; score O(n_neighbors) novelty,max_speedometer_attack_1
road,max_speedometer_attack,raw,hbos,0.0013079000000288943,0.014485100000456441,0.7919540999992023,72319,4992647.617049323,149779428.5114797,534.21875,3711,Train O(n d b); score O(d) — lightest,max_speedometer_attack_1
road,max_speedometer_attack,raw,elliptic_envelope,0.13792080000166607,0.008207699998820317,1.1379043999986607,72319,8811116.3919727,264333491.759181,530.3125,44031,Train robust cov ~O(n d^2); score O(d^2),max_speedometer_attack_1
road,max_speedometer_attack,raw,autoencoder,0.2767308000002231,0.015843499999391497,1.2840011999996932,72319,4564584.845695557,136937545.37086672,535.25,18610,Train O(epochs n d h); score O(d h),max_speedometer_attack_1
road,max_speedometer_attack,residual,isolation_forest,0.15298269999948388,0.41243089999989024,1.5867099999995844,72319,175348.16135265143,5260444.840579543,537.046875,2071919,Train O(T ψ log ψ); score O(T log ψ) per sample,max_speedometer_attack_1
road,max_speedometer_attack,residual,one_class_svm,0.02440289999867673,0.7437777000013739,1.6518875999990996,72319,97232.00897239379,2916960.2691718135,537.6640625,32922,Train ~O(n_sv^2–n^3) RBF; score O(n_sv) per sample,max_speedometer_attack_1
road,max_speedometer_attack,residual,lof,0.13249380000161182,2.3892025999994075,3.6633404000003793,72319,30269.0948017627,908072.844052881,531.3359375,1551948,Train O(n log n) kNN; score O(n_neighbors) novelty,max_speedometer_attack_1
road,max_speedometer_attack,residual,hbos,0.0013253000015538419,0.01705740000033984,1.0336507000010897,72319,4239743.454369316,127192303.63107948,534.625,3711,Train O(n d b); score O(d) — lightest,max_speedometer_attack_1
road,max_speedometer_attack,residual,elliptic_envelope,0.13849630000004254,0.00862319999941974,1.1813906999996107,72319,8386561.833758511,251596855.01275533,531.1640625,44031,Train robust cov ~O(n d^2); score O(d^2),max_speedometer_attack_1
road,max_speedometer_attack,residual,autoencoder,0.2758515000004991,0.01597829999991518,1.3406985000001441,72319,4526075.990586227,135782279.71758682,534.609375,18610,Train O(epochs n d h); score O(d h),max_speedometer_attack_1
road,reverse_light_off_attack,raw,isolation_forest,0.22961990000112564,0.13984329999948386,0.8600103000007948,27825,198972.70730955788,5969181.219286736,538.27734375,2393295,Train O(T ψ log ψ); score O(T log ψ) per sample,reverse_light_off_attack_1
road,reverse_light_off_attack,raw,one_class_svm,0.027326999999786494,0.24895599999945262,0.7400734000002558,27825,111766.73789770553,3353002.136931166,535.77734375,29754,Train ~O(n_sv^2–n^3) RBF; score O(n_sv) per sample,reverse_light_off_attack_1
road,reverse_light_off_attack,raw,lof,0.036365699999805656,0.12534530000084487,0.5805147999999463,27825,221986.78370718687,6659603.511215606,538.5234375,2514956,Train O(n log n) kNN; score O(n_neighbors) novelty,reverse_light_off_attack_1
road,reverse_light_off_attack,raw,hbos,0.004156200000579702,0.00494299999991199,0.30370749999929103,27825,5629172.567367069,168875177.02101207,538.8046875,3711,Train O(n d b); score O(d) — lightest,reverse_light_off_attack_1
road,reverse_light_off_attack,raw,elliptic_envelope,0.17932090000067546,0.003624500001023989,0.5738070999996125,27825,7676920.9524455555,230307628.57336667,534.484375,66831,Train robust cov ~O(n d^2); score O(d^2),reverse_light_off_attack_1
road,reverse_light_off_attack,raw,autoencoder,0.42899539999962144,0.007799900000463822,0.8298217000010482,27825,3567353.4273959133,107020602.8218774,536.578125,18610,Train O(epochs n d h); score O(d h),reverse_light_off_attack_1
road,reverse_light_off_attack,residual,isolation_forest,0.22810390000086045,0.16153730000041833,0.861605199999758,27825,172251.23856798364,5167537.157039509,529.17578125,2022287,Train O(T ψ log ψ); score O(T log ψ) per sample,reverse_light_off_attack_1
road,reverse_light_off_attack,residual,one_class_svm,0.03055320000021311,0.3008538000012777,0.7953421000001981,27825,92486.78261628016,2774603.478488405,536.0,35290,Train ~O(n_sv^2–n^3) RBF; score O(n_sv) per sample,reverse_light_off_attack_1
road,reverse_light_off_attack,residual,lof,0.3070122999997693,1.4254168999996182,2.5499620999999024,27825,19520.60481393721,585618.1444181163,536.98828125,2514956,Train O(n log n) kNN; score O(n_neighbors) novelty,reverse_light_off_attack_1
road,reverse_light_off_attack,residual,hbos,0.004489399998419685,0.006169099999169703,0.3785377000003791,27825,4510382.390258702,135311471.70776108,537.1640625,3711,Train O(n d b); score O(d) — lightest,reverse_light_off_attack_1
road,reverse_light_off_attack,residual,elliptic_envelope,0.17367779999949562,0.003606099999160506,0.566905300000144,27825,7716092.1789405765,231482765.3682173,537.859375,66831,Train robust cov ~O(n d^2); score O(d^2),reverse_light_off_attack_1
road,reverse_light_off_attack,residual,autoencoder,0.4231190999998944,0.00616970000010042,0.8252431999990222,27825,4509943.757321606,135298312.71964818,538.10546875,18610,Train O(epochs n d h); score O(d h),reverse_light_off_attack_1
road,reverse_light_on_attack,raw,isolation_forest,0.19115770000098564,0.3124938999990263,1.4021967999997287,60931,194983.006068886,5849490.18206658,537.3359375,2540959,Train O(T ψ log ψ); score O(T log ψ) per sample,reverse_light_on_attack_1
