corpus,dataset,capture,attack_type,representation,detector,n_seeds,precision_mean,precision_std,precision_ci95_low,precision_ci95_high,recall_mean,recall_std,recall_ci95_low,recall_ci95_high,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,roc_auc_mean,roc_auc_std,roc_auc_ci95_low,roc_auc_ci95_high,pr_auc_mean,pr_auc_std,pr_auc_ci95_low,pr_auc_ci95_high,fpr_mean,fpr_std,fpr_ci95_low,fpr_ci95_high
hcrl,gear,gear,gear,residual,hbos,5,0.8495994768677455,1.2412670766236366e-16,0.8495994768677454,0.8495994768677456,0.997696294874256,0.0,0.997696294874256,0.997696294874256,0.9177114603567013,1.2412670766236366e-16,0.9177114603567011,0.9177114603567014,0.9976905438124144,1.2412670766236366e-16,0.9976905438124143,0.9976905438124145,0.9842178401042508,0.0,0.9842178401042508,0.9842178401042508,0.049748553506732275,0.0,0.049748553506732275,0.049748553506732275
hcrl,gear,gear,gear,residual,isolation_forest,5,0.8640702569460901,0.02774660329569007,0.839749286829448,0.8883912270627321,0.9993088884622768,0.0010567371045899481,0.9983826175501948,1.000235159374359,0.9265809507218756,0.015599703141633052,0.9129072080337003,0.940254693410051,0.9993974672718127,0.00040703991041861706,0.9990406810593861,0.9997542534842392,0.994750126112662,0.004453014466724383,0.9908468868361268,0.9986533653891972,0.044557400097334124,0.010533501713503571,0.03532437875531236,0.05379042143935589
hcrl,gear,gear,gear,residual,lof,5,0.9815501920576504,0.0018178471347992666,0.9799567787893335,0.9831436053259672,0.9966980226531004,0.0006279680258704307,0.9961475844092317,0.9972484608969691,0.9890656087425566,0.0011227889033002332,0.9880814408761891,0.990049776608924,0.9999534932183198,1.2794169053815581e-05,0.9999422786346857,0.999964707801954,0.9998424215924373,4.2568596058811835e-05,0.9998051085728356,0.999879734612039,0.005277672632888119,0.0005278847071590667,0.004814961285807944,0.005740383979968295
hcrl,gear,gear,gear,residual,one_class_svm,5,0.910228984472595,0.006881734775949191,0.9041968779818336,0.9162610909633565,1.0,0.0,1.0,1.0,0.9529941824597638,0.0037889416523530293,0.9496730286695666,0.9563153362499609,0.9994592548531877,1.2412670766236366e-16,0.9994592548531875,0.9994592548531878,0.9961751768980684,0.0,0.9961751768980684,0.9961751768980684,0.027794300546152596,0.0023620104545332334,0.025723907097711215,0.029864693994593978
road,correlated_signal_attack,correlated_signal_attack_1,correlated_signal_attack,raw,autoencoder,5,0.5403241752461505,0.2518841158671664,0.31953801307783486,0.7611103374144661,0.3012139966674601,0.2363491944904996,0.09404479346669439,0.5083831998682259,0.3746484685258082,0.25382955419961156,0.1521570544733991,0.5971398825782173,0.9517877812336291,0.024313576755831633,0.9304759915559673,0.9730995709112908,0.5170457831104376,0.08651336024589261,0.44121347935751404,0.5928780868633612,0.014175456650373036,0.004057341990970963,0.010619039590461076,0.017731873710284996
road,correlated_signal_attack,correlated_signal_attack_1,correlated_signal_attack,raw,elliptic_envelope,5,0.0006772009029345372,0.0015142672533858621,-0.0006501128668171558,0.0020045146726862303,0.0001428231373482504,0.00031936224387047694,-0.00013711021185432032,0.00042275648655082116,0.00023589541969726754,0.000527478194023933,-0.00022645960290937678,0.0006982504423039119,0.8075938378168537,0.05994203386732089,0.7550523285415794,0.8601353470921279,0.16456861889668495,0.06169652629582045,0.11048922920164628,0.21864800859172362,0.01958543129111691,0.0023714079561550526,0.017506800569317065,0.021664062012916752
road,correlated_signal_attack,correlated_signal_attack_1,correlated_signal_attack,raw,hbos,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5930209235187586,0.0,0.5930209235187586,0.5930209235187586,0.09904065050865699,0.0,0.09904065050865699,0.09904065050865699,0.014884780771068395,1.939479807224432e-18,0.014884780771068393,0.014884780771068397
road,correlated_signal_attack,correlated_signal_attack_1,correlated_signal_attack,raw,isolation_forest,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8007909530893785,0.013564489496591614,0.78890115381635,0.8126807523624071,0.14878135448456722,0.007644722092698477,0.14208046012336686,0.15548224884576758,0.0147377705906134,0.0015533114380538913,0.01337623308405255,0.016099308097174247
road,correlated_signal_attack,correlated_signal_attack_1,correlated_signal_attack,raw,lof,5,0.0012570401814985068,0.0015705613845390628,-0.00011961756981838153,0.002633697932815395,0.0002856462746965008,0.0002607581801976511,5.7081652184954565e-05,0.0005142108972080471,0.00044338152218674346,0.00041014860104203596,8.387042228662157e-05,0.0008028926220868653,0.5428475479145449,0.02795805339227591,0.5183412336162955,0.5673538622127944,0.07221463598462785,0.0059355116185815905,0.06701193066015566,0.07741734130910004,0.022657944062626337,0.009665683544853509,0.014185598884151255,0.031130289241101422
road,correlated_signal_attack,correlated_signal_attack_1,correlated_signal_attack,raw,one_class_svm,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.804340400340636,0.022169310602771,0.7849081428159718,0.8237726578653003,0.2389694040166599,0.015829895046649434,0.22509388922746973,0.2528449188058501,0.018585762064022935,0.0006667067687650859,0.018001367814863892,0.019170156313181978
