corpus,dataset,capture,attack_type,representation,detector,seed,precision,recall,f1,roc_auc,pr_auc,fpr,train_seconds,score_seconds,runtime_seconds,peak_rss_mb,model_bytes
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,raw,hbos,2,0.0,0.0,0.0,0.8056113158006184,0.021745828167952994,0.01216702663786897,0.016996299998936593,0.008408300000155577,0.02540459999909217,582.4609375,3711
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,raw,hbos,3,0.0,0.0,0.0,0.8056113158006184,0.021745828167952994,0.01216702663786897,0.016348800001651398,0.00801329999922018,0.024362100000871578,582.4609375,3711
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,raw,hbos,4,0.0,0.0,0.0,0.8056113158006184,0.021745828167952994,0.01216702663786897,0.016622699999061297,0.007351099999141297,0.023973799998202594,582.4609375,3711
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,raw,elliptic_envelope,0,0.4106280193236715,0.8333333333333334,0.5501618122977346,0.9924511921399229,0.3000916643442985,0.008783297336213103,0.6552578000009817,0.00450749999981781,0.6597653000007995,586.203125,66831
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,raw,elliptic_envelope,1,0.44954128440366975,0.9607843137254902,0.6124999999999999,0.9928619828060813,0.3101974120641592,0.008639308855291577,0.6694188000001304,0.005274799999824609,0.674693599999955,585.4921875,66831
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,raw,elliptic_envelope,2,0.45454545454545453,0.9803921568627451,0.6211180124223603,0.9928782168014795,0.3106176417616533,0.008639308855291577,0.6338371000001644,0.004620500001692562,0.6384576000018569,585.671875,66831
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,raw,elliptic_envelope,3,0.45089285714285715,0.9901960784313726,0.6196319018404908,0.9928972741004249,0.3111302546430412,0.008855291576673866,0.6457059000003937,0.004563399999824469,0.6502693000002182,586.2890625,66831
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,raw,elliptic_envelope,4,0.4195121951219512,0.8431372549019608,0.5602605863192182,0.9925147164697413,0.3015689826672118,0.008567314614830814,0.6044684000007692,0.008943300001192256,0.6134117000019614,586.41796875,66831
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,raw,autoencoder,0,0.42857142857142855,0.7352941176470589,0.5415162454873645,0.9947197165403239,0.38757866814287156,0.007199424046076314,1.9161043000003701,0.008701199998540687,1.9248054999989108,587.28515625,18610
road,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,max_engine_coolant_temp_attack,raw,autoencoder,1,0.0,0.0,0.0,0.8775385028021288,0.02649886173892396,0.011087113030957524,0.5601339000004373,0.0098667000002024,0.5700006000006397,587.24609375,17039
